real 19.02
user 18.85
sys 0.16

real 19.01
user 18.83
sys 0.18

real 19.02
user 18.85
sys 0.17

real 19.02
user 18.84
sys 0.17

real 19.03
user 18.85
sys 0.17

real 19.02
user 18.84
sys 0.17

real 19.03
user 18.85
sys 0.17

real 19.01
user 18.83
sys 0.17

real 19.17
user 19.00
sys 0.17

real 19.04
user 18.86
sys 0.17

real 10.88
user 20.02
sys 0.19

real 10.88
user 20.00
sys 0.20

real 10.88
user 20.01
sys 0.20

real 10.89
user 20.02
sys 0.20

real 10.87
user 19.98
sys 0.20

real 12.35
user 22.94
sys 0.22

real 13.17
user 24.60
sys 0.20

real 10.86
user 19.97
sys 0.21

real 10.87
user 20.00
sys 0.19

real 12.02
user 22.30
sys 0.19

real 8.54
user 29.08
sys 0.37

real 8.57
user 29.16
sys 0.36

real 10.15
user 31.27
sys 0.33

real 8.72
user 29.57
sys 0.33

real 9.50
user 30.51
sys 0.37

real 8.84
user 29.93
sys 0.34

real 8.55
user 29.14
sys 0.36

real 8.61
user 29.37
sys 0.34

real 8.55
user 29.15
sys 0.34

real 8.55
user 29.17
sys 0.34

real 9.67
user 65.65
sys 0.71

real 9.67
user 65.65
sys 0.71

real 9.68
user 65.65
sys 0.74

real 9.67
user 65.56
sys 0.73

real 9.67
user 65.60
sys 0.76

real 9.67
user 65.58
sys 0.76

real 9.67
user 65.58
sys 0.76

real 9.67
user 65.61
sys 0.72

real 9.66
user 65.55
sys 0.74

real 9.66
user 65.52
sys 0.72
