,,,,,,,,,
,,,1,2,4,8,16,32,64
,,,1083,495,242,187,125,257,400
,,,1082,495,242,134,108,286,463
,,,1078,504,243,133,137,251,422
,,,1086,511,243,136,125,244,428
,,,1086,508,242,138,136,249,455
,,,47,41,8,4,63,86,125
,,,47,41,8,7,43,85,123
,,,47,39,12,6,49,105,139
,,,47,43,8,4,36,87,131
,,,47,41,9,4,61,87,126
,N = 512,mean,1083,502.6,242.4,145.6,126.2,257.4,433.6
,Iter = 578,sd,3.3166247904,7.3688533708,0.5477225575,23.2228335911,11.6918775225,16.6523271647,25.5792884968
,N = 768,mean,47,41,9,5,50.4,90,128.8
,Iter=16,sd,0,1.4142135624,1.7320508076,1.4142135624,11.5671949927,8.4261497732,6.4187226144
,,,,,,,,,
,,,1,2,4,8,16,32,64
,,,1082,500,239,129,114,258,418
,,,1078,497,241,130,107,246,424
,,,1082,497,238,129,115,233,407
,,,1081,492,235,141,130,218,431
,,,1077,493,235,168,119,250,486
,,,47,40,8,56,54,85,122
,,,45,40,8,6,45,94,139
,,,46,39,8,4,54,87,123
,,,46,40,8,4,54,93,112
,,,47,40,7,7,52,113,129
,N = 512,mean,1080,495.8,237.6,139.4,117,241,433.2
,Iter = 578,sd,2.3452078799,3.2710854468,2.6076809621,16.772000477,8.4557672626,15.7162336455,30.8009740106
,N = 768,mean,46.2,39.8,7.8,15.4,51.8,94.4,125
,Iter=16,sd,0.8366600265,0.4472135955,0.4472135955,22.7332355814,3.8987177379,11.0815161418,9.9247166206
