size;1000000
Threads;1
Time;53
size;1000000
Threads;1
Time;53
size;1000000
Threads;1
Time;52
size;1000000
Threads;1
Time;52
size;1000000
Threads;1
Time;52
size;1000000
Threads;1
Time;52
size;1000000
Threads;1
Time;52
size;1000000
Threads;1
Time;52
size;1000000
Threads;1
Time;52
size;1000000
Threads;1
Time;53
size;1000000
Threads;2
Time;30
size;1000000
Threads;2
Time;46
size;1000000
Threads;2
Time;56
size;1000000
Threads;2
Time;57
size;1000000
Threads;2
Time;60
size;1000000
Threads;2
Time;53
size;1000000
Threads;2
Time;60
size;1000000
Threads;2
Time;59
size;1000000
Threads;2
Time;59
size;1000000
Threads;2
Time;55
size;1000000
Threads;4
Time;68
size;1000000
Threads;4
Time;66
size;1000000
Threads;4
Time;52
size;1000000
Threads;4
Time;59
size;1000000
Threads;4
Time;69
size;1000000
Threads;4
Time;48
size;1000000
Threads;4
Time;68
size;1000000
Threads;4
Time;65
size;1000000
Threads;4
Time;69
size;1000000
Threads;4
Time;63
size;1000000
Threads;8
Time;67
size;1000000
Threads;8
Time;67
size;1000000
Threads;8
Time;57
size;1000000
Threads;8
Time;70
size;1000000
Threads;8
Time;69
size;1000000
Threads;8
Time;58
size;1000000
Threads;8
Time;58
size;1000000
Threads;8
Time;101
size;1000000
Threads;8
Time;74
size;1000000
Threads;8
Time;60
size;10000000
Threads;1
Time;522
size;10000000
Threads;1
Time;520
size;10000000
Threads;1
Time;522
size;10000000
Threads;1
Time;519
size;10000000
Threads;1
Time;516
size;10000000
Threads;1
Time;519
size;10000000
Threads;1
Time;519
size;10000000
Threads;1
Time;521
size;10000000
Threads;1
Time;518
size;10000000
Threads;1
Time;518
size;10000000
Threads;2
Time;309
size;10000000
Threads;2
Time;403
size;10000000
Threads;2
Time;363
size;10000000
Threads;2
Time;299
size;10000000
Threads;2
Time;318
size;10000000
Threads;2
Time;316
size;10000000
Threads;2
Time;361
size;10000000
Threads;2
Time;407
size;10000000
Threads;2
Time;422
size;10000000
Threads;2
Time;383
size;10000000
Threads;4
Time;332
size;10000000
Threads;4
Time;297
size;10000000
Threads;4
Time;296
size;10000000
Threads;4
Time;316
size;10000000
Threads;4
Time;319
size;10000000
Threads;4
Time;270
size;10000000
Threads;4
Time;275
size;10000000
Threads;4
Time;258
size;10000000
Threads;4
Time;306
size;10000000
Threads;4
Time;305
size;10000000
Threads;8
Time;274
size;10000000
Threads;8
Time;226
size;10000000
Threads;8
Time;273
size;10000000
Threads;8
Time;292
size;10000000
Threads;8
Time;290
size;10000000
Threads;8
Time;192
size;10000000
Threads;8
Time;282
size;10000000
Threads;8
Time;207
size;10000000
Threads;8
Time;269
size;10000000
Threads;8
Time;224
size;100000000
Threads;1
Time;5149
size;100000000
Threads;1
Time;5165
size;100000000
Threads;1
Time;5166
size;100000000
Threads;1
Time;5176
size;100000000
Threads;1
Time;5154
size;100000000
Threads;1
Time;5178
size;100000000
Threads;1
Time;5179
size;100000000
Threads;1
Time;5179
size;100000000
Threads;1
Time;5169
size;100000000
Threads;1
Time;5149
size;100000000
Threads;2
Time;3125
size;100000000
Threads;2
Time;3073
size;100000000
Threads;2
Time;2985
size;100000000
Threads;2
Time;3045
size;100000000
Threads;2
Time;3419
size;100000000
Threads;2
Time;3299
size;100000000
Threads;2
Time;3460
size;100000000
Threads;2
Time;2968
size;100000000
Threads;2
Time;3009
size;100000000
Threads;2
Time;2959
size;100000000
Threads;4
Time;1959
size;100000000
Threads;4
Time;2176
size;100000000
Threads;4
Time;2212
size;100000000
Threads;4
Time;2087
size;100000000
Threads;4
Time;1939
size;100000000
Threads;4
Time;1963
size;100000000
Threads;4
Time;2023
size;100000000
Threads;4
Time;1925
size;100000000
Threads;4
Time;1953
size;100000000
Threads;4
Time;2058
size;100000000
Threads;8
Time;1497
size;100000000
Threads;8
Time;1529
size;100000000
Threads;8
Time;1485
size;100000000
Threads;8
Time;1395
size;100000000
Threads;8
Time;1526
size;100000000
Threads;8
Time;1386
size;100000000
Threads;8
Time;1366
size;100000000
Threads;8
Time;1466
size;100000000
Threads;8
Time;1422
size;100000000
Threads;8
Time;1683

