;wall time [s]; user mode cpu [s]; kernel mode [s]; major page fault; minor page fault; max resident set size [kbytes];avg resident set size [kbytes]
mmulSeq1000;0.006403124237432854;0.009000000000000008;0.0;0.0;1.857417562100671;55.48909802835148;0.0
mmulSeq100;0.0;0.0;0.0;0.0;1.2;53.52233178776875;0.0
mmulSeq10;0.0;0.0;0.0;0.0;1.1874342087037917;43.4161260363013;0.0
mmulSeq1500;0.01100000000000001;0.009433981132056611;0.006324555320336759;0.0;1.4866068747318506;48.79508171937003;0.0
mmulSeq500;0.005999999999999999;0.0030000000000000022;0.0;0.0;1.268857754044952;32.93630216038224;0.0
