3.91;29.98;0.04
5.14;38.69;0.10
5.10;39.04;0.04
5.19;40.19;0.03
5.34;41.53;0.04
5.59;43.63;0.04
6.10;47.66;0.04
6.05;46.49;0.06
6.07;47.35;0.04
6.27;48.57;0.05
