Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 41.38      4.71     4.71                             main
 31.93      8.35     3.64 257062573     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long) const
 24.69     11.16     2.81 273756299     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long) const
  1.89     11.38     0.22       24     8.96     8.96  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.18     11.40     0.02     1584     0.01     0.01  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, double*>::__type std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00     11.40     0.00   140597     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00     11.40     0.00   138425     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  0.00     11.40     0.00    10691     0.00     0.00  std::_Iter_base<double*, false>::_S_base(double*)
  0.00     11.40     0.00    10651     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00     11.40     0.00    10448     0.00     0.00  std::_Niter_base<double*>::iterator_type std::__niter_base<double*>(double*)
  0.00     11.40     0.00     9407     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00     11.40     0.00     8695     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::__normal_iterator(double* const&)
  0.00     11.40     0.00     7609     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const
  0.00     11.40     0.00     6123     0.00     0.00  std::move_iterator<double*>::base() const
  0.00     11.40     0.00     6115     0.00     0.00  std::_Iter_base<std::move_iterator<double*>, true>::_S_base(std::move_iterator<double*>)
  0.00     11.40     0.00     6031     0.00     0.00  std::move_iterator<double*>::move_iterator(double*)
  0.00     11.40     0.00     6000     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00     11.40     0.00     5965     0.00     0.00  std::move_iterator<double*> std::__make_move_if_noexcept_iterator<double*, std::move_iterator<double*> >(double*)
  0.00     11.40     0.00     5942     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00     11.40     0.00     5872     0.00     0.00  std::_Miter_base<std::move_iterator<double*> >::iterator_type std::__miter_base<std::move_iterator<double*> >(std::move_iterator<double*>)
  0.00     11.40     0.00     4551     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00     11.40     0.00     4522     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00     11.40     0.00     4471     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00     11.40     0.00     4465     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00     11.40     0.00     4455     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00     11.40     0.00     4446     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00     11.40     0.00     4326     0.00     0.00  std::vector<double, std::allocator<double> >::begin()
